timestamp_minutes,hour,crop_type,temperature,humidity,co2_ppm,light_lux,ethylene_ppm,temperature_floor,temperature_mid,temperature_ceiling,humidity_point_1,humidity_point_2,humidity_point_3,humidity_gradient_variance,door_open,door_cycles_today,door_cycles_cumulative,compressor_on,compressor_duty_cycle,compressor_power_kw,energy_consumed_kwh,energy_anomaly_score,room_pressure_pa,pressure_stability,condensation_risk_zones,quality_index,quality_status,rsl_hours,rsl_percent,decay_temperature,decay_humidity,decay_co2,decay_microbial,decay_infrastructure,flu_total,water_loss_percent,microbial_load,mold_risk_score,is_good,is_spoiled,quality_class,scenario_id,temp_profile,humidity_profile,initial_condition
155,2,mango,16.96,87.07,673.5,6.6,0.56,16.73,16.88,17.37,87.16,87.98,88.02,0.158,0,0,0,1,100.0,5.104,12.941,1.042,-3.91,0.805,0,39.82,AT_RISK,356.1,98.92,0.5833,1.0,0.9704,1.0,0.7125,0.0108,0.05,0.31,0.044,0,0,2,mango_00000,optimal,optimal,fresh
50,0,mango,13.6,89.38,463.7,11.7,0.54,13.39,13.69,13.93,88.32,89.41,88.47,0.232,0,0,0,1,50.0,4.9,4.143,0.96,-2.13,0.894,0,77.07,GOOD,359.0,99.73,0.9568,1.0,1.0,1.0,0.808,0.0027,0.01,0.1,0.014,1,0,0,mango_00000,optimal,optimal,fresh
40,0,mango,13.29,89.36,487.9,9.1,0.61,12.96,13.21,13.66,89.94,89.31,91.62,0.954,0,0,0,1,50.0,5.248,3.338,1.099,-2.19,0.891,0,76.42,GOOD,359.2,99.79,0.982,1.0,1.0,1.0,0.7802,0.0021,0.01,0.08,0.011,1,0,0,mango_00000,optimal,optimal,fresh
17015,283,orange,23.52,86.44,765.8,12.1,0.52,23.11,23.41,23.95,87.05,86.71,85.36,0.532,0,4,54,1,100.0,4.744,1417.134,0.897,-2.92,0.854,0,0.0,SPOILED,0.0,0.0,0.4,1.0,0.9521,0.3,0.7385,1.7259,5.15,6.0,1.0,0,1,4,orange_00000,optimal,optimal,fresh
40,0,orange,7.65,88.06,413.7,6.5,0.59,7.18,7.67,8.13,87.93,88.16,87.0,0.251,0,0,0,1,50.0,4.631,3.256,0.852,-2.61,0.869,0,82.91,GOOD,2159.3,99.97,1.0,1.0,1.0,1.0,0.8295,0.0003,0.0,0.08,0.013,1,0,0,orange_00000,optimal,optimal,fresh
125,2,berries,11.44,93.74,836.4,13.7,0.53,11.15,11.45,12.16,94.47,94.06,91.21,2.1,0,0,0,1,100.0,4.893,10.359,0.957,-3.83,0.808,0,26.43,CRITICAL,159.8,95.14,0.4,1.0,0.9553,1.0,0.7277,0.0486,0.03,0.25,0.031,0,0,3,berries_00000,optimal,optimal,fresh
10,0,leafy_greens,3.06,96.71,411.5,13.1,0.65,2.61,2.93,3.63,96.99,96.65,95.07,0.702,0,0,0,1,50.0,4.63,0.825,0.852,-2.01,0.9,0,82.89,GOOD,239.8,99.93,1.0,1.0,1.0,1.0,0.8296,0.0007,0.0,0.02,0.003,1,0,0,leafy_greens_00000,optimal,optimal,fresh
10300,171,avocado,,,401.0,9.8,0.54,,,,,,,,0,0,34,1,100.0,4.689,858.704,0.876,-3.07,0.846,0,0.0,SPOILED,0.0,0.0,0.4,0.7,1.0,0.3,0.7424,,,7.0,1.0,0,1,4,avocado_00000,optimal,optimal,fresh
5,0,leafy_greens,2.64,97.09,401.8,5.9,0.54,2.47,2.55,3.1,96.06,97.67,94.59,1.582,0,0,0,1,50.0,5.272,0.439,1.109,-2.17,0.892,1,77.79,GOOD,239.9,99.96,1.0,1.0,1.0,1.0,0.7782,0.0004,0.0,0.01,0.001,1,0,0,leafy_greens_00000,optimal,optimal,fresh
105,1,orange,10.47,88.99,430.5,7.2,0.55,10.13,10.51,10.94,88.78,88.36,88.93,0.058,0,0,0,1,100.0,5.208,8.626,1.083,-3.05,0.848,0,53.72,MARGINAL,2157.8,99.9,0.763,1.0,1.0,1.0,0.705,0.001,0.01,0.21,0.035,0,0,1,orange_00000,optimal,optimal,fresh
45,0,avocado,9.25,93.46,487.7,11.1,0.56,8.87,9.2,9.86,92.48,93.63,93.66,0.302,0,0,0,1,50.0,4.982,3.749,0.993,-2.19,0.891,0,71.58,GOOD,399.2,99.81,0.8953,1.0,1.0,1.0,0.8014,0.0019,0.01,0.09,0.013,1,0,0,avocado_00000,optimal,optimal,fresh
7990,133,orange,24.42,86.21,519.5,8.7,0.52,24.26,24.56,24.86,86.98,85.37,83.51,2.005,0,4,24,1,100.0,5.031,665.006,1.012,-2.57,0.872,0,1.8,SPOILED,481.1,22.27,0.4,1.0,0.9992,0.3,0.7178,0.7773,2.37,6.0,1.0,0,1,4,orange_00000,optimal,optimal,fresh
12345,205,orange,25.0,85.38,630.1,14.1,0.54,24.76,24.9,25.51,84.59,85.76,84.34,0.382,0,3,41,1,100.0,4.531,1027.955,0.812,-2.25,0.888,0,0.0,SPOILED,0.0,0.0,0.4,1.0,0.9781,0.3,0.7538,1.2267,3.71,6.0,1.0,0,1,4,orange_00000,optimal,optimal,fresh
50,0,leafy_greens,6.74,96.5,570.6,12.1,0.58,6.41,6.62,7.26,94.6,96.91,95.24,0.946,0,0,0,1,50.0,5.084,4.264,1.034,-2.48,0.876,0,57.78,MARGINAL,239.0,99.59,0.732,1.0,1.0,1.0,0.7933,0.0041,0.02,0.1,0.013,0,0,1,leafy_greens_00000,optimal,optimal,fresh
120,2,mango,15.85,87.7,591.2,5.2,0.52,15.5,15.85,16.44,86.78,87.12,88.58,0.611,0,0,0,1,100.0,4.691,10.03,0.876,-3.24,0.838,0,51.93,MARGINAL,357.4,99.28,0.7183,1.0,0.9823,1.0,0.7422,0.0072,0.04,0.24,0.034,0,0,1,mango_00000,optimal,optimal,fresh
155,2,mango,16.96,87.07,673.5,6.6,0.56,16.73,16.88,17.37,87.16,87.98,88.02,0.158,0,0,0,1,100.0,5.104,12.941,1.042,-3.91,0.805,0,39.82,AT_RISK,356.1,98.92,0.5833,1.0,0.9704,1.0,0.7125,0.0108,0.05,0.31,0.044,0,0,2,mango_00000,optimal,optimal,fresh
115,1,berries,10.6,93.96,800.9,13.4,0.6,10.22,10.7,11.3,95.01,93.66,91.5,2.08,0,0,0,1,100.0,5.478,9.556,1.191,-4.32,0.784,0,25.43,CRITICAL,161.6,96.17,0.4,1.0,0.9652,1.0,0.6856,0.0383,0.02,0.23,0.029,0,0,3,berries_00000,optimal,optimal,fresh
3715,61,mango,,,404.8,10.1,0.52,,,,,,,,0,3,11,1,100.0,4.54,309.283,0.816,-3.62,0.819,0,0.0,SPOILED,0.0,0.0,0.4,0.7,1.0,0.3,0.7531,,,7.0,1.0,0,1,4,mango_00000,optimal,optimal,fresh
65,1,mango,14.2,89.13,491.7,5.3,0.63,14.03,14.25,14.78,90.72,87.67,87.48,2.209,0,0,0,1,100.0,5.045,5.432,1.018,-2.96,0.852,0,64.19,MARGINAL,358.7,99.65,0.9006,1.0,0.9986,1.0,0.7168,0.0035,0.02,0.13,0.019,0,0,1,mango_00000,optimal,optimal,fresh
130,2,mango,16.15,87.94,631.1,9.2,0.61,15.97,16.09,16.73,88.15,87.61,87.84,0.049,0,0,0,1,100.0,5.03,10.88,1.012,-3.44,0.828,0,47.57,AT_RISK,357.1,99.19,0.6834,1.0,0.979,1.0,0.7179,0.0081,0.04,0.26,0.037,0,0,2,mango_00000,optimal,optimal,fresh
465,7,orange,19.05,85.87,476.7,5.9,0.65,18.83,18.96,19.4,87.85,85.6,84.55,1.897,0,1,1,1,100.0,4.717,38.475,0.887,-1.25,0.938,0,29.28,CRITICAL,2140.1,99.08,0.4,1.0,1.0,1.0,0.7404,0.0092,0.08,0.93,0.155,0,0,3,orange_00000,optimal,optimal,fresh
15,0,berries,2.1,93.11,434.6,12.7,0.66,2.01,2.07,2.72,91.86,92.3,91.55,0.095,0,0,0,1,50.0,5.343,1.236,1.137,-1.94,0.903,0,76.72,GOOD,167.7,99.83,0.9948,1.0,1.0,1.0,0.7726,0.0017,0.0,0.03,0.004,1,0,0,berries_00000,optimal,optimal,fresh
40,0,avocado,8.99,93.27,466.2,6.0,0.61,8.72,8.98,9.58,93.52,93.5,92.33,0.308,0,0,0,1,50.0,4.65,3.334,0.86,-1.89,0.905,0,76.1,GOOD,399.3,99.83,0.9208,1.0,1.0,1.0,0.828,0.0017,0.01,0.08,0.011,1,0,0,avocado_00000,optimal,optimal,fresh
25,0,berries,3.04,93.18,448.9,7.8,0.53,2.86,3.23,3.52,94.31,92.19,91.91,1.15,0,0,0,1,50.0,4.801,2.015,0.921,-1.87,0.906,0,74.48,GOOD,167.5,99.7,0.9158,1.0,1.0,1.0,0.8159,0.003,0.0,0.05,0.006,1,0,0,berries_00000,optimal,optimal,fresh
1415,23,orange,19.92,85.4,749.5,12.3,0.59,19.7,19.98,20.52,85.08,84.95,84.65,0.033,0,6,6,1,100.0,4.856,117.78,0.942,-2.42,0.879,0,12.53,CRITICAL,1895.1,87.73,0.4,1.0,0.958,0.5205,0.7231,0.1227,0.4,4.677,0.78,0,0,3,orange_00000,optimal,optimal,fresh
175,2,orange,12.59,88.94,462.2,14.2,0.51,12.08,12.49,13.01,89.73,89.29,89.69,0.04,0,0,0,1,100.0,4.721,14.409,0.888,-3.94,0.803,0,37.08,AT_RISK,2156.0,99.82,0.5022,1.0,1.0,1.0,0.7401,0.0018,0.02,0.35,0.058,0,0,2,orange_00000,optimal,optimal,fresh
2115,35,leafy_greens,,,419.6,6.7,0.61,,,,,,,,0,0,3,1,100.0,5.186,175.903,1.074,-3.87,0.807,0,0.0,SPOILED,0.0,0.0,0.4,0.7,1.0,0.3002,0.7066,,,7.498,1.0,0,1,4,leafy_greens_00000,optimal,optimal,fresh
185,3,orange,12.86,88.63,450.9,13.1,0.55,12.67,12.91,13.46,90.53,88.49,86.07,3.32,0,0,0,1,100.0,4.697,15.176,0.879,-3.92,0.804,0,34.55,AT_RISK,2155.8,99.8,0.4669,1.0,1.0,1.0,0.7418,0.002,0.02,0.37,0.062,0,0,2,orange_00000,optimal,optimal,fresh
120,2,orange,10.9,88.36,444.0,14.1,0.6,10.68,10.83,11.3,87.42,88.53,86.34,0.798,0,0,0,1,100.0,4.648,9.865,0.859,-3.38,0.831,0,53.03,MARGINAL,2157.5,99.88,0.7126,1.0,1.0,1.0,0.7453,0.0012,0.01,0.24,0.04,0,0,1,orange_00000,optimal,optimal,fresh
12210,203,berries,,,401.4,12.5,0.61,,,,,,,,0,3,43,1,100.0,4.957,1017.49,0.983,-3.16,0.842,0,0.0,SPOILED,0.0,0.0,0.4,0.7,1.0,0.3,0.7231,,,8.0,1.0,0,1,4,berries_00000,optimal,optimal,fresh
11480,191,leafy_greens,,,393.9,12.7,0.58,,,,,,,,0,3,34,1,100.0,4.579,954.778,0.832,-2.87,0.856,0,0.0,SPOILED,0.0,0.0,0.4,0.7,1.0,0.3,0.7503,,,7.5,1.0,0,1,4,leafy_greens_00000,optimal,optimal,fresh
30,0,berries,3.54,92.62,454.8,9.7,0.54,3.36,3.53,4.08,92.02,92.59,93.29,0.268,0,0,0,1,50.0,5.385,2.464,1.154,-1.53,0.923,0,66.31,MARGINAL,167.4,99.63,0.8654,1.0,1.0,1.0,0.7692,0.0037,0.0,0.06,0.008,0,0,1,berries_00000,optimal,optimal,fresh
115,1,orange,10.8,89.04,442.8,13.4,0.68,10.55,10.64,11.32,90.56,88.52,87.62,1.509,0,0,0,1,100.0,4.737,9.478,0.895,-3.23,0.838,0,53.5,MARGINAL,2157.6,99.89,0.7251,1.0,1.0,1.0,0.7389,0.0011,0.01,0.23,0.038,0,0,1,orange_00000,optimal,optimal,fresh
15,0,orange,6.45,88.26,415.8,7.4,0.67,6.15,6.58,6.98,87.54,87.36,89.29,0.761,0,0,0,1,50.0,4.818,1.216,0.927,-1.76,0.912,0,81.44,GOOD,2159.7,99.99,1.0,1.0,1.0,1.0,0.8146,0.0001,0.0,0.03,0.005,1,0,0,orange_00000,optimal,optimal,fresh
145,2,orange,11.68,88.63,434.2,10.7,0.51,11.43,11.6,12.15,89.03,87.35,86.0,1.536,0,0,0,1,100.0,5.246,11.925,1.099,-4.02,0.799,0,43.35,AT_RISK,2156.8,99.85,0.6185,1.0,1.0,1.0,0.7023,0.0015,0.02,0.29,0.048,0,0,2,orange_00000,optimal,optimal,fresh
15,0,avocado,7.58,92.05,419.2,13.4,0.58,7.37,7.64,7.89,91.17,91.85,91.04,0.127,0,0,0,1,50.0,5.379,1.303,1.152,-2.24,0.888,0,76.91,GOOD,399.8,99.94,1.0,1.0,1.0,1.0,0.7697,0.0006,0.0,0.03,0.004,1,0,0,avocado_00000,optimal,optimal,fresh
20,0,orange,6.71,87.82,387.6,9.6,0.64,6.48,6.63,7.09,86.54,88.65,86.03,1.282,0,0,0,1,50.0,5.0,1.632,1.0,-1.62,0.919,0,79.98,GOOD,2159.6,99.98,1.0,1.0,1.0,1.0,0.8,0.0002,0.0,0.04,0.007,1,0,0,orange_00000,optimal,optimal,fresh
40,0,avocado,8.99,93.27,466.2,6.0,0.61,8.72,8.98,9.58,93.52,93.5,92.33,0.308,0,0,0,1,50.0,4.65,3.334,0.86,-1.89,0.905,0,76.1,GOOD,399.3,99.83,0.9208,1.0,1.0,1.0,0.828,0.0017,0.01,0.08,0.011,1,0,0,avocado_00000,optimal,optimal,fresh
120,2,mango,15.85,87.7,591.2,5.2,0.52,15.5,15.85,16.44,86.78,87.12,88.58,0.611,0,0,0,1,100.0,4.691,10.03,0.876,-3.24,0.838,0,51.93,MARGINAL,357.4,99.28,0.7183,1.0,0.9823,1.0,0.7422,0.0072,0.04,0.24,0.034,0,0,1,mango_00000,optimal,optimal,fresh
115,1,orange,10.8,89.04,442.8,13.4,0.68,10.55,10.64,11.32,90.56,88.52,87.62,1.509,0,0,0,1,100.0,4.737,9.478,0.895,-3.23,0.838,0,53.5,MARGINAL,2157.6,99.89,0.7251,1.0,1.0,1.0,0.7389,0.0011,0.01,0.23,0.038,0,0,1,orange_00000,optimal,optimal,fresh
580,9,mango,28.09,88.05,1692.8,14.9,0.55,27.68,28.09,28.52,87.95,87.89,86.47,0.466,0,0,0,1,100.0,4.811,48.234,0.925,-2.05,0.898,0,16.71,CRITICAL,276.7,76.86,0.4,1.0,0.7567,0.9897,0.7336,0.2314,0.29,1.508,0.215,0,0,3,mango_00000,optimal,optimal,fresh
870,14,orange,25.11,85.94,531.1,14.8,0.69,24.88,25.15,25.78,86.26,85.89,86.44,0.052,0,5,5,1,100.0,4.81,72.388,0.924,-2.37,0.882,0,24.62,CRITICAL,2045.8,94.71,0.4,1.0,0.9961,0.8939,0.7337,0.0529,0.21,2.155,0.359,0,0,3,orange_00000,optimal,optimal,fresh
65,1,leafy_greens,7.93,96.21,603.3,6.6,0.63,7.82,7.93,8.27,95.02,96.28,96.45,0.407,0,0,0,1,100.0,4.528,5.494,0.811,-3.23,0.838,0,43.92,AT_RISK,238.7,99.45,0.5865,1.0,1.0,1.0,0.754,0.0055,0.02,0.13,0.017,0,0,2,leafy_greens_00000,optimal,optimal,fresh
45,0,orange,7.86,88.0,418.1,9.8,0.58,7.44,8.05,8.35,88.99,88.58,89.1,0.049,0,0,0,1,50.0,5.319,3.7,1.128,-2.69,0.866,0,77.41,GOOD,2159.2,99.96,1.0,1.0,1.0,1.0,0.7745,0.0004,0.0,0.09,0.015,1,0,0,orange_00000,optimal,optimal,fresh
45,0,leafy_greens,6.27,95.97,529.8,8.7,0.59,6.01,6.42,6.76,96.15,95.69,98.28,1.266,0,0,0,1,50.0,5.273,3.84,1.109,-1.73,0.914,1,60.89,MARGINAL,239.1,99.64,0.786,1.0,1.0,1.0,0.7782,0.0036,0.01,0.09,0.012,0,0,1,leafy_greens_00000,optimal,optimal,fresh
205,3,mango,18.07,86.36,781.6,6.5,0.57,17.94,18.04,18.58,86.27,86.53,89.21,1.764,0,0,0,1,100.0,4.658,17.005,0.863,-3.12,0.844,0,30.44,AT_RISK,353.5,98.18,0.4385,1.0,0.9518,1.0,0.7446,0.0182,0.07,0.41,0.059,0,0,2,mango_00000,optimal,optimal,fresh
100,1,mango,15.13,87.58,566.6,8.8,0.68,14.94,15.03,15.58,87.11,88.42,85.76,1.178,0,0,0,1,100.0,4.838,8.346,0.935,-2.98,0.851,0,57.61,MARGINAL,358.0,99.43,0.8019,1.0,0.9887,1.0,0.7317,0.0057,0.03,0.2,0.029,0,0,1,mango_00000,optimal,optimal,fresh
110,1,avocado,12.61,94.88,596.0,11.2,0.6,12.4,12.59,12.99,94.79,94.18,94.18,0.082,0,0,0,1,100.0,5.215,9.132,1.086,-4.23,0.789,0,34.96,AT_RISK,397.8,99.45,0.4999,1.0,0.9993,1.0,0.7045,0.0055,0.03,0.22,0.031,0,0,2,avocado_00000,optimal,optimal,fresh
13775,229,berries,,,416.1,7.6,0.68,,,,,,,,0,3,50,1,100.0,5.24,1147.987,1.096,-2.09,0.895,0,0.0,SPOILED,0.0,0.0,0.4,0.7,1.0,0.3,0.7027,,,8.0,1.0,0,1,4,berries_00000,optimal,optimal,fresh
105,1,orange,10.47,88.99,430.5,7.2,0.55,10.13,10.51,10.94,88.78,88.36,88.93,0.058,0,0,0,1,100.0,5.208,8.626,1.083,-3.05,0.848,0,53.72,MARGINAL,2157.8,99.9,0.763,1.0,1.0,1.0,0.705,0.001,0.01,0.21,0.035,0,0,1,orange_00000,optimal,optimal,fresh
35,0,leafy_greens,5.38,96.32,503.6,12.6,0.69,4.98,5.53,5.98,95.82,96.3,96.25,0.046,0,0,0,1,50.0,4.556,3.0,0.823,-1.31,0.935,0,73.45,GOOD,239.3,99.73,0.882,1.0,1.0,1.0,0.8355,0.0027,0.01,0.07,0.009,1,0,0,leafy_greens_00000,optimal,optimal,fresh
15,0,leafy_greens,3.51,96.54,463.9,10.9,0.65,3.03,3.51,3.87,96.2,96.02,98.61,1.39,0,0,0,1,50.0,5.423,1.277,1.169,-1.75,0.913,1,76.52,GOOD,239.7,99.89,1.0,1.0,1.0,1.0,0.7662,0.0011,0.0,0.03,0.004,1,0,0,leafy_greens_00000,optimal,optimal,fresh
30,0,orange,7.11,88.23,406.5,5.4,0.67,6.74,7.15,7.72,88.9,88.23,88.82,0.09,0,0,0,1,50.0,5.343,2.48,1.137,-2.23,0.888,0,77.23,GOOD,2159.4,99.97,1.0,1.0,1.0,1.0,0.7725,0.0003,0.0,0.06,0.01,1,0,0,orange_00000,optimal,optimal,fresh
40,0,avocado,8.99,93.27,466.2,6.0,0.61,8.72,8.98,9.58,93.52,93.5,92.33,0.308,0,0,0,1,50.0,4.65,3.334,0.86,-1.89,0.905,0,76.1,GOOD,399.3,99.83,0.9208,1.0,1.0,1.0,0.828,0.0017,0.01,0.08,0.011,1,0,0,avocado_00000,optimal,optimal,fresh
110,1,orange,10.66,89.44,440.4,11.2,0.7,10.39,10.73,11.22,91.0,89.75,87.01,2.769,0,0,0,1,100.0,5.491,9.083,1.196,-3.38,0.831,0,50.71,MARGINAL,2157.7,99.89,0.7417,1.0,1.0,1.0,0.6847,0.0011,0.01,0.22,0.037,0,0,1,orange_00000,optimal,optimal,fresh
45,0,orange,7.86,88.0,418.1,9.8,0.58,7.44,8.05,8.35,88.99,88.58,89.1,0.049,0,0,0,1,50.0,5.319,3.7,1.128,-2.69,0.866,0,77.41,GOOD,2159.2,99.96,1.0,1.0,1.0,1.0,0.7745,0.0004,0.0,0.09,0.015,1,0,0,orange_00000,optimal,optimal,fresh
75,1,orange,9.17,89.86,439.9,12.9,0.67,8.99,9.18,9.56,88.5,90.35,91.89,1.914,0,0,0,1,100.0,5.058,6.134,1.023,-3.77,0.812,0,64.64,MARGINAL,2158.5,99.93,0.9039,1.0,1.0,1.0,0.7158,0.0007,0.01,0.15,0.025,0,0,1,orange_00000,optimal,optimal,fresh
